gornje baredine - baredine di sopra|7a|baredine - baredine
debeli vrv|74|vinkuran
varetonova stancija - stanzia vareton|1|pula
pomer|94|pomer
premanturska|220|valbonaša
pomer|26b|pomer
premanturska|186|valbonaša
debeli vrv|57|vinkuran
pješčana uvala|7|ogranak 29 pješčana uvala
pješčana uvala|2|ogranak 5 pješčana uvala
brunjakova ulica - via josip brunjak|6c|pula
vintijan|1|vintijan
ivanošići|20a|želiski
debeli vrv|65/1|vinkuran
ulica ližnjamoro - via lisgnamoro|32|pula
pješčana uvala|7|ogranak 9 pješčana uvala
pješčana uvala|9|ogranak 34 pješčana uvala
petrovićeva ulica - via mate petrović|34|pula
jeromelina ulica - via viktor jeromela|28|pula
petrovićeva ulica - via mate petrović|26|pula
grubišina ulica - via slavko grubiša|10|pula
pješčana uvala|9|ogranak 8 pješčana uvala
debeli vrv|27a|vinkuran
put od fortica|90b|jadreški
pješčana uvala|5|ogranak 36 pješčana uvala
pješčana uvala|3|ogranak 5 pješčana uvala
varetonova stancija - stanzia vareton|2|pula
manjadvorci|25a|manjadvorci
petrovićeva ulica - via mate petrović|20|pula
debeli vrv|12|vinkuran
ulica menacija priska - via lucio menacio prisco|11|pula
dračice|31a|banjole
pavlići|22b|grandići
varetonova stancija - stanzia vareton|8|pula
debeli vrv|7|vinkuran
pješčana uvala|5|ogranak 34 pješčana uvala
pješčana uvala|9|ogranak 10 pješčana uvala
pješčana uvala|9|ogranak 12 pješčana uvala
pješčana uvala|4|ogranak 3 pješčana uvala
belasova ulica - via ivo belas|24|pula
pješčana uvala|4|ogranak 12 pješčana uvala
premanturska|234|valbonaša
pješčana uvala|7|ogranak 7 pješčana uvala
pješčana uvala|1|ogranak 9 pješčana uvala
ulica monte paradiso - via monte paradiso|11a|pula
antenska ulica - via dell'antenna|17|pula
pješčana uvala|4|ogranak 10 pješčana uvala
pješčana uvala|10|ogranak 20 pješčana uvala
pješčana uvala|5|ogranak 30 pješčana uvala
pješčana uvala|4|ogranak 7 pješčana uvala
pješčana uvala|2|ogranak 3 pješčana uvala
pješčana uvala|6|ogranak 14 pješčana uvala
pješčana uvala|3|ogranak 6 pješčana uvala
petehi|14b|petehi
pješčana uvala|4|ogranak 33 pješčana uvala
paganorska ulica - via paganor|62|pula
pješčana uvala|6|ogranak 10 pješčana uvala
bunarska cesta - strada dei pozzi|47b|pula
pješčana uvala|5|ogranak 13 pješčana uvala
ulica mirna - via quieto|33|pula
debeli vrv|33|vinkuran
pješčana uvala|5|ogranak 26 pješčana uvala
debeli vrv|66|vinkuran
paredine|51|premantura
pješčana uvala|7|ogranak 15 pješčana uvala
pješčana uvala|8|ogranak 22 pješčana uvala
varetonova stancija - stanzia vareton|35|pula
brig|10a|premantura
debeli vrv|9|vinkuran
vidrijanski put - vicolo vidrian|3|pula
premanturska|222|valbonaša
pješčana uvala|3|ogranak 26 pješčana uvala
jeromelina ulica - via viktor jeromela|24|pula
pješčana uvala|5|ogranak 16 pješčana uvala
brunjakova ulica - via josip brunjak|4|pula
antenska ulica - via dell'antenna|15|pula
partizanski put - strada dei partigiani|37|pula
pješčana uvala|6|ogranak 35 pješčana uvala
pješčana uvala|2|ogranak 33 pješčana uvala
pješčana uvala|10|ogranak 32 pješčana uvala
pješčana uvala|3|ogranak 31 pješčana uvala
pješčana uvala|2|ogranak 14 pješčana uvala
petehi|14a|petehi
pješčana uvala|2|ogranak 36 pješčana uvala
belasova ulica - via ivo belas|26|pula
debeli vrv|16|vinkuran
biletići|48|hreljići
paduljski put - via paduli|48|pula
pješčana uvala|5|ogranak 20 pješčana uvala
varetonova stancija - stanzia vareton|37|pula
pješčana uvala|5|ogranak 27 pješčana uvala
premanturska|290|vinkuran
pješčana uvala|3|ogranak 21 pješčana uvala
vintijan|2|vintijan
ulica baližerka - via barisella|93|pula
premanturska|188c|valbonaša
pješčana uvala|10|ogranak 18 pješčana uvala
pješčana uvala|3|ogranak 23 pješčana uvala
vintijan|24|vintijan
debeli vrv|3|vinkuran
vintijan|103|vintijan
prhati|1a|prhati
pješčana uvala|2|ogranak 6 pješčana uvala
ulica kašćuni - via castion|83|pula
varetonova stancija - stanzia vareton|3|pula
varetonova stancija - stanzia vareton|23|pula
pješčana uvala|5|ogranak 2 pješčana uvala
pješčana uvala|2|ogranak 48 pješčana uvala
jeromelina ulica - via viktor jeromela|34|pula
pješčana uvala|7|ogranak 45 pješčana uvala
pješčana uvala|2|ogranak 25 pješčana uvala
pješčana uvala|4|ogranak 14 pješčana uvala
grandići|3c|grandići
kamik|29|banjole
pješčana uvala|7|ogranak 21 pješčana uvala
premanturska|286|vinkuran
pješčana uvala|4|ogranak 25 pješčana uvala
vintijan|126|vintijan
pješčana uvala|5|ogranak 19 pješčana uvala
pješčana uvala|9|ogranak 13 pješčana uvala
pješčana uvala|4|ogranak 8 pješčana uvala
pješčana uvala|6|ogranak 2 pješčana uvala
pješčana uvala|5|ogranak 9 pješčana uvala
vintijan|75a|vintijan
pješčana uvala|9|ogranak 14 pješčana uvala
premanturska|288|vinkuran
zahtilina ulica - via josip zahtila|6|pula
pješčana uvala|7|ogranak 19 pješčana uvala
debeli vrv|10|vinkuran
debeli vrv|47a|vinkuran
debeli vrv|6|vinkuran
pješčana uvala|8|ogranak 8 pješčana uvala
valtura|220|valtura
pješčana uvala|3|ogranak 8 pješčana uvala
valturska ulica - via altura|19|pula
pješčana uvala|2|ogranak 29 pješčana uvala
pješčana uvala|2|ogranak 34 pješčana uvala
pješčana uvala|3|ogranak 11 pješčana uvala
vintijan|128|vintijan
pješčana uvala|9|ogranak 20 pješčana uvala
ulica ližnjamoro - via lisgnamoro|37|pula
pješčana uvala|2|ogranak 50 pješčana uvala
pješčana uvala|5|ogranak 12 pješčana uvala
pješčana uvala|1|ogranak 5 pješčana uvala
pješčana uvala|5|ogranak 7 pješčana uvala
valturska ulica - via altura|78/1|pula
pješčana uvala|9|ogranak 1 pješčana uvala
šišanska cesta - via sissano|141a|pula
industrijska ulica - via dell'industria|15b|pula
pješčana uvala|9|ogranak 7 pješčana uvala
valtura|2|valtura
pješčana uvala|4|ogranak 35 pješčana uvala
debeli vrv|69|vinkuran
pješčana uvala|1|ogranak 19 pješčana uvala
pješčana uvala|7|ogranak 31 pješčana uvala
vintijan|68|vintijan
pješčana uvala|6|ogranak 16 pješčana uvala
pješčana uvala|3|ogranak 27 pješčana uvala
jadreški|39|jadreški
pješčana uvala|5|ogranak 24 pješčana uvala
premanturska|175|valbonaša
pješčana uvala|4|ogranak 27 pješčana uvala
pješčana uvala|2|ogranak 13 pješčana uvala
ulica ližnjamoro - via lisgnamoro|18|pula
grandići|3a|grandići
ulica menacija priska - via lucio menacio prisco|3|pula
debeli vrv|29|vinkuran
pješčana uvala|3|ogranak 25 pješčana uvala
pješčana uvala|10|ogranak 6 pješčana uvala
pješčana uvala|3|ogranak 20 pješčana uvala
orihi|30b|orihi
ulica verudella - via verudella|33|pula
pješčana uvala|10|ogranak 34 pješčana uvala
pješčana uvala|8|ogranak 16 pješčana uvala
vintijan|106|vintijan
ulica kozada - via cosada|18|pula
pješčana uvala|2|ogranak 30 pješčana uvala
pješčana uvala|10|ogranak 28 pješčana uvala
belasova ulica - via ivo belas|10|pula
valtura|25e|valtura
pješčana uvala|3|ogranak 22 pješčana uvala
pješčana uvala|2|ogranak 38 pješčana uvala
vodnjanska cesta - via dignano|8|pula
pješčana uvala|10|ogranak 22 pješčana uvala
belasova ulica - via ivo belas|30|pula
debeli vrv|70|vinkuran
pješčana uvala|3|ogranak 4 pješčana uvala
pješčana uvala|5|ogranak 28 pješčana uvala
koparska ulica - via capodistria|14|pula
manjadvorci|28a|manjadvorci
pješčana uvala|6|ogranak 26 pješčana uvala
debeli vrv|13|vinkuran
pješčana uvala|6|ogranak 24 pješčana uvala
debeli vrv|18|vinkuran
paduljski put - via paduli|26|pula
pješčana uvala|2|ogranak 8 pješčana uvala
debeli vrv|31|vinkuran
partizanski put - strada dei partigiani|73|pula
ušići dvori|200|valtura
paduljski put - via paduli|24|pula
jeromelina ulica - via viktor jeromela|32|pula
debeli vrv|24|vinkuran
pješčana uvala|4|ogranak 36 pješčana uvala
selo-varoš|105c|premantura
pješčana uvala|10|ogranak 30 pješčana uvala
pješčana uvala|2|ogranak 52 pješčana uvala
korenika|5/3|buzet
krajcar breg|10|krajcar breg
krajcar breg|11|krajcar breg
krajcar breg|15|krajcar breg
krajcar breg|15a|krajcar breg
krajcar breg|3|krajcar breg
krajcar breg|6|krajcar breg
krajcar breg|12|krajcar breg
krajcar breg|18|krajcar breg
trg g. pignaton - piazza g. pignaton|6|rovinj - rovigno
vijenac braće lorenzetto - circonvallazione fratelli lorenzetto|1|rovinj - rovigno
cesta za valaltu-lim - strada per valalta-leme|17|rovinj - rovigno
ulica laste - via laste|3|rovinj - rovigno
ulica matije vlačića ilirika - via mattio flacio illirico|46|rovinj - rovigno
montalbano - montalbano|75|rovinj - rovigno
buzetska ulica - via pinguente|8|rovinj - rovigno
buzetska ulica - via pinguente|12|rovinj - rovigno
otok katarina|3|rovinj - rovigno
gortanova ulica - via vladimir gortan|23|rovinj - rovigno
ulica michela fachinettia - via michele fachinetti|22|rovinj - rovigno
ulica valsavie - via valsavie|2a|rovinj - rovigno
ulica silvana chiurca - via silvano chiurco|5|rovinj - rovigno
ulica centener - via centener|19|rovinj - rovigno
naselje laco sercio - insediamento laco sercio|12|rovinj - rovigno
dubrovačka ulica - via ragusa|9|rovinj - rovigno
ulica centener - via centener|15|rovinj - rovigno
naselje laco sercio - insediamento laco sercio|20|rovinj - rovigno
ulica luje adamovića - via lujo adamović|5|rovinj - rovigno
ulica centener - via centener|28|rovinj - rovigno
ulica ivana mažuranića - via ivan mažuranić|38|rovinj - rovigno
driovier - driovier|13|rovinj - rovigno
naselje laco sercio - insediamento laco sercio|39|rovinj - rovigno
zagrebačka ulica - viale zagabria|13|rovinj - rovigno
ulica mate baštijana - via mate baštijan|6|rovinj - rovigno
ulica mate baštijana - via mate baštijan|11|rovinj - rovigno
ulica joakima rakovca - via joakim rakovac|22|rovinj - rovigno
ulica plinara - via dell' officina del gas|2|rovinj - rovigno
ulica svetoga križa - via santa croce|2|rovinj - rovigno
pazinska ulica - via pisino|5|rovinj - rovigno
zagrebačka ulica - viale zagabria|31|rovinj - rovigno
ulica petra i pavla vergerija - via pier paolo vergerio|13|rovinj - rovigno
ulica ante starčevića - via ante starčević|9|rovinj - rovigno
ulica valsavie - via valsavie|14|rovinj - rovigno
ulica giorgia privileggia pascia' - via giorgio privileggio pascia'|10|rovinj - rovigno
ulica marka zelka - via marko zelko|12|rovinj - rovigno
španjolskih boraca|15|rovinj - rovigno
ulica giorgia privileggia pascia' - via giorgio privileggio pascia'|6|rovinj - rovigno
ulica miroslava krleže - via miroslav krleža|16|rovinj - rovigno
ulica mate balote - via mate balota|2|rovinj - rovigno
ulica paola deperisa - via paolo deperis|4|rovinj - rovigno
ulica silvana chiurca - via silvano chiurco|3|rovinj - rovigno
mohorovičićeva ulica - via a. mohorovičić|6|rovinj - rovigno
grisia - grisia|43|rovinj - rovigno
ulica braće pesel - via fratelli pesel|43|rovinj - rovigno
ulica ivana mažuranića - via ivan mažuranić|1|rovinj - rovigno
ulica kresinskih žrtava - via dei martiri di kresini|16|rovinj - rovigno
ulica fra pavla pellizzera - via fra paolo pellizzer|25|rovinj - rovigno
ulica centener - via centener|23|rovinj - rovigno
naselje gripole - insediamento gripole|45|rovinj - rovigno
ulica ante starčevića - via ante starčević|18|rovinj - rovigno
zagrebačka ulica - viale zagabria|40|rovinj - rovigno
ulica ruže petrović - via ruža petrović|3|rovinj - rovigno
ulica marka marulića - via marko marulić|7|rovinj - rovigno
ulica centener - via centener|14|rovinj - rovigno
gortanova ulica - via vladimir gortan|29|rovinj - rovigno
ulica viktora cara-emina - via viktor car-emin|5|rovinj - rovigno
naselje gripole - insediamento gripole|6|rovinj - rovigno
ulica prve istarske brigade - via prima brigata istriana|6|rovinj - rovigno
ulica lamanova - via lamanova|5|rovinj - rovigno
ulica lodovica brunettija - via lodovico brunetti|10|rovinj - rovigno
ulica centener - via centener|27|rovinj - rovigno
ulica lamanova - via lamanova|7|rovinj - rovigno
ulica jurja dobrile - via juraj dobrila|11a|rovinj - rovigno
ulica kresinskih žrtava - via dei martiri di kresini|6|rovinj - rovigno
laginjina ulica - via matko laginja|8|rovinj - rovigno
matteottijev trg - piazza matteotti|14|rovinj - rovigno
ulica val de lesso - via val de lesso|16|rovinj - rovigno
naselje gripole - insediamento gripole|55|rovinj - rovigno
ulica miroslava krleže - via miroslav krleža|18|rovinj - rovigno
obala g. paliaga|5|rovinj - rovigno
uspon francesca bodi - salita francesca bodi|1|rovinj - rovigno
ulica stjepana radića - via stjepan radić|13|rovinj - rovigno
ulica petra studenca - via petar studenac|6|rovinj - rovigno
ulica riccarda daveggie - via riccardo daveggia|36|rovinj - rovigno
dubrovačka ulica - via ragusa|7|rovinj - rovigno
ulica kresinskih žrtava - via dei martiri di kresini|4|rovinj - rovigno
španjolskih boraca|11|rovinj - rovigno
ulica svetoga križa - via santa croce|4|rovinj - rovigno
ulica riccarda daveggie - via riccardo daveggia|23|rovinj - rovigno
ulica pasquala besenghija - via pasquale besenghi|4|rovinj - rovigno
ulica fra pavla pellizzera - via fra paolo pellizzer|5|rovinj - rovigno
mohorovičićeva ulica - via a. mohorovičić|4|rovinj - rovigno
nazorova ulica - riva nazor|18|rovinj - rovigno
omladinska ulica - viale della gioventu'|19|rovinj - rovigno
nova ulica - calnova|2|rovinj - rovigno
ulica n. quarantotta - via n. quarantotto|6|rovinj - rovigno
carduccijeva ulica - via carducci|13b|rovinj - rovigno
obala alda negrija - riva aldo negri|2|rovinj - rovigno
naselje laco sercio - insediamento laco sercio|23|rovinj - rovigno
teslina ulica - via nikola tesla|5|rovinj - rovigno
teslina ulica - via nikola tesla|6|rovinj - rovigno
ulica marka zelka - via marko zelko|2|rovinj - rovigno
ulica biondi domenico - via domenico biondi|11|rovinj - rovigno
ulica n. quarantotta - via n. quarantotto|8|rovinj - rovigno
ulica giuseppea tartinija - via giuseppe tartini|12|rovinj - rovigno
ulica centener - via centener|21|rovinj - rovigno
ulica svetoga križa - via santa croce|10|rovinj - rovigno
ulica antonija bazzarinija - via antonio bazzarini|2|rovinj - rovigno
ulica lorenza i antonija del vescovo - via lorenzo e antonio del vescovo|12|rovinj - rovigno
ulica petra i pavla vergerija - via pier paolo vergerio|5|rovinj - rovigno
ulica svetoga križa - via santa croce|55|rovinj - rovigno
ulica fra pavla pellizzera - via fra paolo pellizzer|33|rovinj - rovigno
vrata valdibora - porta valdibora|11|rovinj - rovigno
naselje gripole - insediamento gripole|64|rovinj - rovigno
vrata valdibora - porta valdibora|17|rovinj - rovigno
ulica joakima rakovca - via joakim rakovac|14|rovinj - rovigno
cesta za valaltu-lim - strada per valalta-leme|3|rovinj - rovigno
funtana - funtana|2|rovinj - rovigno
ulica luje adamovića - via lujo adamović|18|rovinj - rovigno
ulica stjepana radića - via stjepan radić|5|rovinj - rovigno
ulica andrije motovunjanina - via andrea antico da montona|8|rovinj - rovigno
ulica egidija bullessicha - via egidio bullessich|9|rovinj - rovigno
ulica mate balote - via mate balota|12|rovinj - rovigno
ulica braće pesel - via fratelli pesel|26|rovinj - rovigno
ulica josipa voltića - via giuseppe voltiggi|18|rovinj - rovigno
savičentska ulica - via sanvincenti|24|rovinj - rovigno
ulica ante starčevića - via ante starčević|30|rovinj - rovigno
ulica marka marulića - via marko marulić|3|rovinj - rovigno
ulica miroslava krleže - via miroslav krleža|44|rovinj - rovigno
obala g. paliaga|8|rovinj - rovigno
naselje laco sercio - insediamento laco sercio|31|rovinj - rovigno
dubrovačka ulica - via ragusa|10|rovinj - rovigno
zagrebačka ulica - viale zagabria|3|rovinj - rovigno
ulica marca della pietra - via marco della pietra|24|rovinj - rovigno
ulica svetoga križa - via santa croce|12|rovinj - rovigno
ulica marka zelka - via marko zelko|10|rovinj - rovigno
ulica santorija santorija - via santorio santorio|6|rovinj - rovigno
ulica biondi domenico - via domenico biondi|7|rovinj - rovigno
ulica marka marulića - via marko marulić|5|rovinj - rovigno
ulica svetoga križa - via santa croce|51|rovinj - rovigno
ulica miroslava krleže - via miroslav krleža|6|rovinj - rovigno
ulica lodovica brunettija - via lodovico brunetti|4|rovinj - rovigno
grisia - grisia|45|rovinj - rovigno
ulica michela fachinettia - via michele fachinetti|4|rovinj - rovigno
ulica giuseppina martinuzzi - via giuseppina martinuzzi|5|rovinj - rovigno
aleja ruđera boškovića - viale ruđer bošković|1|rovinj - rovigno
nazorova ulica - riva nazor|6|rovinj - rovigno
ulica marka zelka - via marko zelko|22|rovinj - rovigno
ulica marka marulića - via marko marulić|15|rovinj - rovigno
gortanova ulica - via vladimir gortan|33|rovinj - rovigno
ulica marka zelka - via marko zelko|28|rovinj - rovigno
bregovita ulica - via del monte|6|rovinj - rovigno
carduccijeva ulica - via carducci|14|rovinj - rovigno
ulica giuseppea tartinija - via giuseppe tartini|2|rovinj - rovigno
ulica s. pauletića - via s. pauletić|10|rovinj - rovigno
zagrebačka ulica - viale zagabria|33|rovinj - rovigno
