gornje baredine - baredine di sopra|7a|baredine - baredine
teslina ulica - via nikola tesla|2|rovinj - rovigno
teslina ulica - via nikola tesla|2a|rovinj - rovigno
obala palih boraca nor - riva ai caduti del mpl|2|rovinj - rovigno
nazorova ulica - riva nazor|3|rovinj - rovigno
nazorova ulica - riva nazor|16|rovinj - rovigno
omladinska ulica - viale della gioventu'|2|rovinj - rovigno
omladinska ulica - viale della gioventu'|21|rovinj - rovigno
ulica josipa voltića - via giuseppe voltiggi|2|rovinj - rovigno
vrsarska ulica - via orsera|2|rovinj - rovigno
ulica petra i pavla vergerija - via pier paolo vergerio|3|rovinj - rovigno
ulica petra i pavla vergerija - via pier paolo vergerio|12|rovinj - rovigno
ulica petra i pavla vergerija - via pier paolo vergerio|17|rovinj - rovigno
ulica petra i pavla vergerija - via pier paolo vergerio|19|rovinj - rovigno
ulica petra studenca - via petar studenac|5|rovinj - rovigno
ulica petra studenca - via petar studenac|8|rovinj - rovigno
polari|2|rovinj - rovigno
polari|9|rovinj - rovigno
ulica prve istarske brigade - via prima brigata istriana|2|rovinj - rovigno
ulica prve istarske brigade - via prima brigata istriana|5|rovinj - rovigno
ulica prve istarske brigade - via prima brigata istriana|10|rovinj - rovigno
ulica prve istarske brigade - via prima brigata istriana|11|rovinj - rovigno
kranjčići|35a|šivati
otočani|36|šivati
otočani|36b|šivati
katun trviški|68a|trviž
katun trviški|86|trviž
brkići|33b|tomišići
tomišići|1a|tomišići
tomišići|7b|tomišići
tomišići|7c|tomišići
tomišići|8a|tomišići
d. haluzi|30b|tomišići
topit|42|topid
zartinj|3d|topid
fonovići|22b|tupljak
smilovići|48a|tupljak
tupljak|77|tupljak
vrtlić|72|tupljak
vrtlić|72c|tupljak
vrtlić|74|tupljak
valtura|54a|valtura
valtura|54b|valtura
valtura|54c|valtura
valtura|55a|valtura
valtura|64b|valtura
valtura|100a|valtura
matiki|13|vadediji
valtura|166|valtura
valtursko polje|198b|valtura
valtursko polje|201a|valtura
ušići dvori|173a|valtura
potrati|21a|vadediji
valtura|25a|valtura
valtura|43a|valtura
vidulini|3a|vidulini
sveti bartul|42|sveti bartul
bečići|59|sveti bartul
vinež|401|vinež
zeci|6a|zeci
bugarini|40a|zajci
most|4b|zajci
oršanići|49b|zajci
lukovica|6|žminj
lukovica|10|žminj
lukovica|12|žminj
lukovica|15|žminj
lukovica|17|žminj
lukovica|19|žminj
lukovica|23|žminj
lukovica|24|žminj
lukovica|25|žminj
lukovica|28|žminj
lukovica|30|žminj
lukovica|31|žminj
lukovica|32|žminj
lukovica|33|žminj
lukovica|34|žminj
lukovica|35|žminj
lukovica|36|žminj
lukovica|37|žminj
lukovica|39|žminj
lukovica|40|žminj
lukovica|41|žminj
lukovica|42|žminj
lukovica|43|žminj
lukovica|44|žminj
lukovica|45|žminj
lukovica|46|žminj
lukovica|47|žminj
lukovica|48|žminj
lukovica|49|žminj
lukovica|50|žminj
lukovica|51|žminj
lukovica|52|žminj
lukovica|55|žminj
lukovica|57|žminj
lukovica|58|žminj
lukovica|59|žminj
lukovica|60|žminj
lukovica|61|žminj
lukovica|62|žminj
lukovica|63|žminj
lukovica|64|žminj
matka laginje|2e|žminj
matka laginje|2g|žminj
matka laginje|2k|žminj
matka laginje|2m|žminj
matka laginje|2n|žminj
pazinska|1a|žminj
pazinska|1c|žminj
pazinska|1e|žminj
pazinska|1f|žminj
pazinska|1g|žminj
pazinska|1i|žminj
pazinska|2c|žminj
pazinska|2d|žminj
pazinska|3a|žminj
bateli kod želiski|23b|želiski
želiski|1c|želiski
9. rujan|1d|žminj
9. rujan|1e|žminj
9. rujan|1f|žminj
selo-varoš|75a|premantura
dračice|47|banjole
hreljići|43|hreljići
debeli vrv|1|vinkuran
rebići|38|rebići
jurićev kal|16b|jurićev kal
grgeci|12a|sutivanac
fažanska cesta - via fasana|24b|pula
tomasinijeva ulica - via giacomo filippo tomasini|19a|pula
turulska ulica - via turulla|9|pula
ulica koleži - via koleži|16|pula
ulica mirna - via quieto|15a|pula
ulica pužar - via puzar|29|pula
divkovićeva ulica - via matija divković|2b|pula
kastavska ulica - via castua|27a|pula
bunarska cesta - strada dei pozzi|112|pula
divkovićeva ulica - via matija divković|2c|pula
paduljski put - via paduli|93|pula
ulica valmade - via valmade|8a|pula
valturska ulica - via altura|82|pula
ulica komunal - via comunal|223|pula
šišanska cesta - via sissano|125|pula
ulica mirna - via quieto|31|pula
selo-varoš|222|premantura
ulica jasne crnobori - via jasna crnobori|103a|pula
ulica jasne crnobori - via jasna crnobori|103d|pula
japodska ulica - via dei giapidi|66c|pula
medulinska cesta - via medolino|31a|pula
benčićeva ulica - via dragomir benčić|66b|pula
valtura|1c|valtura
valtura|32c|valtura
valtura|32d|valtura
valtursko polje|191c|valtura
ulica valmade - via valmade|56b|pula
rupice|10|banjole
medulinska cesta - via medolino|15b|pula
debeli vrv|42|vinkuran
pomer|61b|pomer
ulica fojbon - via foibon|30|pula
mutilska ulica - via mutila|54a|pula
batlug|1a|batlug
brešnica|46c|batlug
ulica kaštanjer - via castagner|87|pula
milotski breg|27a|milotski breg
kamik|24|banjole
vintijan|25a|vintijan
lošinjska ulica - via lussino|19b|pula
salakovci|42|salakovci
bunarska cesta - strada dei pozzi|106|pula
ulica škokovica - via skokovica|9|pula
ulica komunal - via comunal|131b|pula
